Date,Target,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,day_of_week,month,day_of_month
2023-12-19,-0.012550227965520354,0.002718942962106168,-0.00036122098281063684,-0.0035584503321865607,0.00028612692448865126,-0.0013586976193424422,1,12,19
2023-12-18,-0.009181184816409263,-0.010114905392678798,0.002718942962106168,-0.00036122098281063684,-0.0035584503321865607,0.00028612692448865126,0,12,18
2023-12-15,-0.0028934321873723173,-0.0030880187869565673,-0.010114905392678798,0.002718942962106168,-0.00036122098281063684,-0.0035584503321865607,4,12,15
2023-12-14,-0.01784162293225453,-0.005018824504207911,-0.0030880187869565673,-0.010114905392678798,0.002718942962106168,-0.00036122098281063684,3,12,14
2023-12-13,-0.004389331932864211,0.009539432381213488,-0.005018824504207911,-0.0030880187869565673,-0.010114905392678798,0.002718942962106168,2,12,13
2023-12-12,-0.007042053074655592,-0.013231386220427988,0.009539432381213488,-0.005018824504207911,-0.0030880187869565673,-0.010114905392678798,1,12,12
2023-12-11,-0.004240983654051611,-0.0007514308351413761,-0.013231386220427988,0.009539432381213488,-0.005018824504207911,-0.0030880187869565673,0,12,11
2023-12-08,-0.0033307243420910007,0.0002810243621545236,-0.0007514308351413761,-0.013231386220427988,0.009539432381213488,-0.005018824504207911,4,12,8
2023-12-07,-0.008013421227998935,0.0012689281248290346,0.0002810243621545236,-0.0007514308351413761,-0.013231386220427988,0.009539432381213488,3,12,7
2023-12-06,-0.012306331692674817,-0.005408758363668722,0.0012689281248290346,0.0002810243621545236,-0.0007514308351413761,-0.013231386220427988,2,12,6
2023-12-05,-0.004630294627740406,0.00022090477896232846,-0.005408758363668722,0.0012689281248290346,0.0002810243621545236,-0.0007514308351413761,1,12,5
2023-12-04,-0.006980285674249142,-0.0034041519769327563,0.00022090477896232846,-0.005408758363668722,0.0012689281248290346,0.0002810243621545236,0,12,4
2023-12-01,-0.005480268484444849,0.0030820937827585044,-0.0034041519769327563,0.00022090477896232846,-0.005408758363668722,0.0012689281248290346,4,12,1
2023-11-30,0.0039940256598201265,0.0021791874367896443,0.0030820937827585044,-0.0034041519769327563,0.00022090477896232846,-0.005408758363668722,3,11,30
2023-11-29,0.006184145507569513,-0.010091455249576657,0.0021791874367896443,0.0030820937827585044,-0.0034041519769327563,0.00022090477896232846,2,11,29
2023-11-28,0.0035816585265625225,-0.004072005685713553,-0.010091455249576657,0.0021791874367896443,0.0030820937827585044,-0.0034041519769327563,1,11,28
2023-11-27,0.004768325802872163,0.004271885088001654,-0.004072005685713553,-0.010091455249576657,0.0021791874367896443,0.0030820937827585044,0,11,27
2023-11-24,0.002141078493693804,0.000732102736249769,0.004271885088001654,-0.004072005685713553,-0.010091455249576657,0.0021791874367896443,4,11,24
2023-11-23,-0.009749952190672612,0.0036792046265939375,0.000732102736249769,0.004271885088001654,-0.004072005685713553,-0.010091455249576657,3,11,23
2023-11-22,0.002326761063146613,-0.0006171611053116817,0.0036792046265939375,0.000732102736249769,0.004271885088001654,-0.004072005685713553,2,11,22
2023-11-21,-0.00556478049128761,-0.0018818858379641662,-0.0006171611053116817,0.0036792046265939375,0.000732102736249769,0.004271885088001654,1,11,21
2023-11-20,-0.009453106443463937,0.0016693981069946637,-0.0018818858379641662,-0.0006171611053116817,0.0036792046265939375,0.000732102736249769,0,11,20
2023-11-17,-0.01933486850436738,0.0019187700125594103,0.0016693981069946637,-0.0018818858379641662,-0.0006171611053116817,0.0036792046265939375,4,11,17
2023-11-16,0.006013481822823796,0.001051957317415578,0.0019187700125594103,0.0016693981069946637,-0.0018818858379641662,-0.0006171611053116817,3,11,16
2023-11-15,-0.011443756705857702,-0.012508191789678097,0.001051957317415578,0.0019187700125594103,0.0016693981069946637,-0.0018818858379641662,2,11,15
2023-11-14,-0.0040981814886546725,0.010194827415855057,-0.012508191789678097,0.001051957317415578,0.0019187700125594103,0.0016693981069946637,1,11,14
2023-11-13,-0.0010873381432791747,-0.006222143447439558,0.010194827415855057,-0.012508191789678097,0.001051957317415578,0.0019187700125594103,0,11,13
2023-11-10,0.007738422244410492,-0.001969555939616918,-0.006222143447439558,0.010194827415855057,-0.012508191789678097,0.001051957317415578,4,11,10
2023-11-09,-0.0012266646731466883,-0.008829804743487865,-0.001969555939616918,-0.006222143447439558,0.010194827415855057,-0.012508191789678097,3,11,9
2023-11-08,-0.008042555126753358,0.012840158537513078,-0.008829804743487865,-0.001969555939616918,-0.006222143447439558,0.010194827415855057,2,11,8
2023-11-07,-0.011990564355027114,-0.007262411112826441,0.012840158537513078,-0.008829804743487865,-0.001969555939616918,-0.006222143447439558,1,11,7
2023-11-06,-0.01225774326093244,0.0011234317697634713,-0.007262411112826441,0.012840158537513078,-0.008829804743487865,-0.001969555939616918,0,11,6
2023-11-03,-0.017193966855971913,0.0010412874057585794,0.0011234317697634713,-0.007262411112826441,0.012840158537513078,-0.008829804743487865,4,11,3
